epoch,train_bce,train_kld,train_total,val_bce,val_kld,val_total,beta,lr
1,13607.928955078125,1831.8943360000849,13681.204833984375,12053.21875,0.6261577010154724,12053.244140625,0.04,0.001
2,9283.551025390625,144.06866836547852,9295.076416015625,10946.0546875,10.640151023864746,10946.90625,0.08,0.0009998914383200486
3,7413.0753173828125,168.22089767456055,7433.2618408203125,8966.9150390625,26.53082275390625,8970.0986328125,0.12,0.000999565800898935
4,6126.303955078125,121.80003547668457,6145.7919921875,6893.86669921875,28.894201278686523,6898.48974609375,0.16,0.0009990232305719946
5,5304.5126953125,55.134339332580566,5315.53955078125,5451.0517578125,15.252900123596191,5454.1025390625,0.2,0.0009982639653285047
6,4569.533203125,20.043216943740845,4574.343505859375,4692.72119140625,11.017960548400879,4695.36572265625,0.24,0.0009972883382072953
7,4095.9816284179688,16.9585964679718,4100.72998046875,3555.3974609375,16.674402236938477,3560.06640625,0.28,0.0009960967771506667
8,3702.3157348632812,19.975621700286865,3708.7079467773438,2970.29296875,17.693065643310547,2975.954833984375,0.32,0.0009946898048166792
9,3398.1245727539062,16.00114154815674,3403.885009765625,2628.367431640625,16.336576461791992,2634.24853515625,0.36,0.0009930680383499
10,3077.2316284179688,13.677089929580688,3082.7025146484375,2158.287109375,23.472768783569336,2167.67626953125,0.4,0.000991232189110701
11,2887.2536010742188,14.3691987991333,2893.5761108398438,2256.223388671875,13.65487003326416,2262.2314453125,0.44,0.0009891830623632338
12,2574.9386596679688,26.640784978866577,2587.7262573242188,1754.7069091796875,35.60460662841797,1771.797119140625,0.48,0.0009869215569222143
13,2451.1785888671875,34.61043119430542,2469.176025390625,1841.79736328125,19.293556213378906,1851.8299560546875,0.52,0.0009844486647586723
14,2225.6262817382812,34.464497089385986,2244.9263916015625,1619.8233642578125,38.2981071472168,1641.270263671875,0.56,0.0009817654705648407
15,2043.6761474609375,36.267526626586914,2065.4366455078125,1436.1695556640625,50.37284469604492,1466.393310546875,0.6,0.000978873151278373
16,2039.3470764160156,28.959800720214844,2057.88134765625,1418.6353759765625,46.68296813964844,1448.512451171875,0.64,0.0009757729755661009
17,2079.069610595703,22.70667266845703,2094.5101318359375,1555.04296875,29.717164993286133,1575.2506103515625,0.68,0.000972466303267553
18,2115.8871459960938,18.90129804611206,2129.49609375,1565.2109375,38.822479248046875,1593.1630859375,0.72,0.0009689545847984861
19,1973.2158508300781,21.961483001708984,1989.9065856933594,1543.0504150390625,27.711639404296875,1564.1112060546875,0.76,0.0009652393605146842
20,1978.42431640625,28.131782293319702,2000.9297790527344,1092.5224609375,47.80302810668945,1130.764892578125,0.8,0.0009613222600363075
21,1877.6377868652344,29.089841842651367,1902.0733032226562,1192.1983642578125,32.93719482421875,1219.8656005859375,0.84,0.0009572050015330872
22,1981.1103210449219,22.02433729171753,2000.4917297363281,1385.8138427734375,55.58176803588867,1434.725830078125,0.88,0.0009528893909706794
23,2006.6074829101562,25.82115936279297,2030.3629455566406,1484.6962890625,68.03033447265625,1547.2841796875,0.92,0.000948377321318509
24,1963.2613525390625,27.35593843460083,1989.5230407714844,1253.5289306640625,65.51752471923828,1316.42578125,0.96,0.0009436707717194509
25,1979.3354797363281,29.00401210784912,2008.3394775390625,1258.908203125,55.9858283996582,1314.89404296875,1.0,0.000938771806621712
26,1809.6448974609375,31.737990856170654,1841.3828735351562,1198.062744140625,33.46426010131836,1231.5269775390625,1.0,0.0009336825748732967
27,1885.708740234375,26.40488862991333,1912.1136474609375,1159.3870849609375,48.39015579223633,1207.7772216796875,1.0,0.0009284053087794503
28,1700.2017211914062,29.327277660369873,1729.5290222167969,1180.4107666015625,46.00020980834961,1226.4110107421875,1.0,0.000922942323123497
29,1904.7008666992188,23.777061462402344,1928.4779357910156,1168.029296875,38.25848388671875,1206.287841796875,1.0,0.0009172960141514987
30,1866.3351135253906,19.856550693511963,1886.191650390625,1537.4896240234375,55.57913589477539,1593.0687255859375,1.0,0.000911468858521183
31,1918.7474365234375,23.990039348602295,1942.7374572753906,1226.6749267578125,29.11436653137207,1255.789306640625,1.0,0.0009054634122155985
32,1879.1222839355469,16.94328022003174,1896.0655822753906,1144.62451171875,42.01564407348633,1186.64013671875,1.0,0.0008992823094219766
33,1748.1639709472656,23.52210807800293,1771.6860656738281,1093.96728515625,38.841609954833984,1132.808837890625,1.0,0.0008929282613762903
34,1748.3397827148438,19.700927734375,1768.0406799316406,1156.6522216796875,31.90846824645996,1188.5606689453125,1.0,0.0008864040551740152
35,1750.1020202636719,16.803166151046753,1766.9052124023438,1188.9354248046875,26.185461044311523,1215.120849609375,1.0,0.000879712552547619
36,1653.6260986328125,14.678113222122192,1668.3042297363281,1188.0902099609375,25.964147567749023,1214.0543212890625,1.0,0.0008728566886113099
37,1652.6921997070312,18.034698963165283,1670.7268981933594,1296.4886474609375,25.449369430541992,1321.93798828125,1.0,0.0008658394705735983
38,1884.2662963867188,15.221542358398438,1899.4878540039062,1103.69970703125,26.946969985961914,1130.646728515625,1.0,0.0008586639764182372
39,1795.4859924316406,17.91531014442444,1813.4012756347656,1153.47265625,29.43450927734375,1182.9072265625,1.0,0.0008513333535541156
