epoch,train_bce,train_kld,train_total,val_bce,val_kld,val_total,beta,lr
1,13950.49072265625,364789.5091619417,28542.070556640625,11171.3154296875,1.1375432014465332,11171.361328125,0.04,0.001
2,10475.890625,865.5246047973633,10545.13232421875,10345.921875,9.383112907409668,10346.6728515625,0.08,0.0009998914383200486
3,7903.32470703125,185.7892837524414,7925.619384765625,8843.548828125,16.401411056518555,8845.5166015625,0.12,0.000999565800898935
4,6441.875,94.88849639892578,6457.0572509765625,7389.85400390625,8.221564292907715,7391.16943359375,0.16,0.0009990232305719946
5,5532.3951416015625,30.475064754486084,5538.490234375,6302.82666015625,13.186938285827637,6305.4638671875,0.2,0.0009982639653285047
6,4707.74462890625,45.54284381866455,4718.6749267578125,5516.04736328125,18.44355010986328,5520.4736328125,0.24,0.0009972883382072953
7,4203.044738769531,30.527140140533447,4211.59228515625,4276.59033203125,29.586870193481445,4284.87451171875,0.28,0.0009960967771506667
8,3810.9764404296875,90.5840311050415,3839.9632568359375,2965.5732421875,147.74563598632812,3012.851806640625,0.32,0.0009946898048166792
9,3510.7958984375,129.65977668762207,3557.473388671875,2729.197998046875,89.73452758789062,2761.50244140625,0.36,0.0009930680383499
10,3130.5462646484375,45.52484941482544,3148.7562866210938,2634.567138671875,46.905460357666016,2653.329345703125,0.4,0.000991232189110701
11,2796.6248779296875,69.44221210479736,2827.179443359375,2108.4921875,99.32662200927734,2152.19580078125,0.44,0.0009891830623632338
12,2572.9280395507812,58.6859827041626,2601.0972900390625,1894.1474609375,120.853515625,1952.1571044921875,0.48,0.0009869215569222143
13,2375.6541137695312,65.83711624145508,2409.8894653320312,1864.5244140625,85.00896453857422,1908.7291259765625,0.52,0.0009844486647586723
14,2216.7245483398438,38.38955116271973,2238.22265625,1716.7677001953125,111.99671173095703,1779.48583984375,0.56,0.0009817654705648407
15,2079.172332763672,41.14122247695923,2103.8570556640625,1658.720703125,46.274898529052734,1686.485595703125,0.6,0.000978873151278373
16,2048.9383239746094,32.221426486968994,2069.560028076172,1454.111328125,73.24309539794922,1500.9869384765625,0.64,0.0009757729755661009
17,2015.1168823242188,37.13191795349121,2040.3665161132812,1518.9617919921875,33.69844055175781,1541.876708984375,0.68,0.000972466303267553
18,1981.890380859375,35.83029794692993,2007.6881713867188,1468.0478515625,60.91554260253906,1511.906982421875,0.72,0.0009689545847984861
19,1924.5209655761719,30.230844974517822,1947.4963989257812,1436.39013671875,48.77695846557617,1473.4605712890625,0.76,0.0009652393605146842
20,1931.4170532226562,34.45764350891113,1958.9831848144531,1242.6072998046875,39.36057662963867,1274.095703125,0.8,0.0009613222600363075
21,2003.8816223144531,39.70602035522461,2037.2346801757812,1233.91259765625,66.64826202392578,1289.8970947265625,0.84,0.0009572050015330872
22,2061.667510986328,42.335768699645996,2098.9229125976562,1367.009765625,46.24199295043945,1407.7027587890625,0.88,0.0009528893909706794
23,1911.4516906738281,42.515663146972656,1950.5661010742188,1403.4969482421875,56.09979248046875,1455.1087646484375,0.92,0.000948377321318509
24,1809.4297485351562,43.35222053527832,1851.0478515625,1235.736328125,55.24465560913086,1288.771240234375,0.96,0.0009436707717194509
25,1871.6666259765625,38.36001920700073,1910.0266418457031,1265.7882080078125,57.676605224609375,1323.46484375,1.0,0.000938771806621712
26,1885.0245971679688,52.16422176361084,1937.1888122558594,1243.050537109375,44.43027877807617,1287.4808349609375,1.0,0.0009336825748732967
27,1866.1052856445312,40.92392158508301,1907.0292053222656,1150.393310546875,66.56063842773438,1216.9539794921875,1.0,0.0009284053087794503
28,1685.7943420410156,41.19356632232666,1726.9879150390625,1170.6832275390625,44.591033935546875,1215.2742919921875,1.0,0.000922942323123497
29,1908.2288513183594,35.206130504608154,1943.4349975585938,1126.52685546875,43.7153205871582,1170.2421875,1.0,0.0009172960141514987
30,1806.7303466796875,28.091912269592285,1834.822265625,1255.3656005859375,24.061294555664062,1279.4268798828125,1.0,0.000911468858521183
31,1930.8535766601562,21.808056354522705,1952.6616516113281,1180.2950439453125,44.34816360473633,1224.6431884765625,1.0,0.0009054634122155985
32,1892.47900390625,28.542570114135742,1921.0215759277344,1276.821044921875,31.3337345123291,1308.15478515625,1.0,0.0008992823094219766
33,1756.4583740234375,25.97898578643799,1782.4373474121094,1118.8834228515625,48.806888580322266,1167.6903076171875,1.0,0.0008929282613762903
34,1786.56005859375,35.301122188568115,1821.8612060546875,1229.8592529296875,21.953475952148438,1251.812744140625,1.0,0.0008864040551740152
35,1784.999755859375,21.585103034973145,1806.5848388671875,1273.0889892578125,35.572914123535156,1308.661865234375,1.0,0.000879712552547619
36,1673.7650451660156,33.28708839416504,1707.0521240234375,1107.81298828125,37.80764389038086,1145.62060546875,1.0,0.0008728566886113099
