epoch,train_bce,train_kld,train_total,val_bce,val_kld,val_total,beta,lr
1,4663.156929347826,774.5927139650221,4676.066798997962,2246.5154541015627,1004.0921875,2263.2503173828127,0.016666666666666666,0.001
2,2398.5898278277855,616.474228568699,2419.138969089674,1392.881982421875,785.1708862304688,1419.054345703125,0.03333333333333333,0.000999938933078422
3,2011.365693465523,596.2606373662534,2041.178740128227,1221.6233154296874,779.2040344238281,1260.58349609375,0.05,0.000999755747381037
4,1772.4149037236753,578.0777607793393,1810.953422214674,1115.3805236816406,606.5499816894531,1155.8171936035155,0.06666666666666667,0.000999450488106175
5,1625.9609215777853,486.2223543913468,1666.479444420856,1102.6118530273438,555.6793762207031,1148.9184509277343,0.08333333333333333,0.0009990232305719944
6,1507.675805133322,494.06952501379925,1557.0827557107677,998.9031982421875,549.60947265625,1053.8641296386718,0.1,0.0009984740801978983
7,1442.7537204908288,484.4728327212126,1499.275539232337,956.0283569335937,484.3593292236328,1012.5369384765625,0.11666666666666667,0.0009978031724785245
8,1415.6110494862432,419.5191630487857,1471.546946649966,953.294921875,420.0123748779297,1009.2965881347657,0.13333333333333333,0.000997010672950314
9,1370.9999655018682,349.0277981965438,1423.3541339376698,949.5107604980469,383.707373046875,1007.0668701171875,0.15,0.0009960967771506664
10,1329.8149639627209,332.2196648639181,1385.1849046790082,963.7290649414062,359.50975036621094,1023.64736328125,0.16666666666666666,0.0009950617105696957
11,1287.6553304921026,311.6065425043521,1344.7832017981489,886.2639343261719,269.44734344482424,935.6626281738281,0.18333333333333332,0.0009939057285945929
12,1234.1968582816746,247.1822619230851,1283.6333127229111,849.9681091308594,244.87452545166016,898.943017578125,0.2,0.0009926291164466126
13,1281.5414919645889,223.7492035575535,1330.020489236583,833.61025390625,248.37256774902343,887.42431640625,0.21666666666666667,0.0009912321891107005
14,1213.0320527449899,201.14467189622962,1259.9658057171366,821.3620178222657,226.99053497314452,874.32646484375,0.23333333333333334,0.0009897152912577737
15,1188.3368928328805,177.69085162618885,1232.7596090565557,1006.2490539550781,243.3437026977539,1067.0849853515624,0.25,0.0009880787971596797
16,1177.5983130413554,157.05120982294497,1219.478640349015,1280.7045837402343,239.38300170898438,1344.5400512695312,0.26666666666666666,0.0009863231105968495
17,1179.7710504946501,152.62036564039147,1223.0134861158288,770.3046691894531,215.80777740478516,831.4502075195312,0.2833333333333333,0.000984448664758672
18,1178.2058729088824,137.28927330348802,1219.3926564092221,787.1549133300781,152.64968566894532,832.9498168945313,0.3,0.0009824559221366096
19,1105.5389231806216,117.92152421370797,1142.8807479194973,765.9513061523437,165.1772903442383,818.2574523925781,0.31666666666666665,0.0009803453744100864
20,1135.1868790336277,106.8334725421408,1170.7980386485224,832.0973388671875,97.26100997924804,864.51767578125,0.3333333333333333,0.0009781175423251728
21,1120.5979176396909,97.92135669874108,1154.8703944994056,741.870654296875,126.45006942749023,786.128173828125,0.35,0.0009757729755661004
22,1128.4040023140285,92.02407936427905,1162.1461672575576,727.8202941894531,87.24880905151367,759.8115234375,0.36666666666666664,0.0009733122526196342
23,1084.1632809846299,88.38043594360352,1118.0424526048744,858.5145324707031,136.46897888183594,910.82763671875,0.38333333333333336,0.000970735980632341
24,1099.8686722465184,81.85341229646102,1132.6100384256115,734.423095703125,64.91314086914062,760.3883605957031,0.4,0.0009680447952607838
25,1113.9457437266474,75.39382901399031,1145.3598433784816,1187.722998046875,141.31607208251953,1246.6046936035157,0.4166666666666667,0.0009652393605146839
26,1085.9728844684103,67.38626919622007,1115.1735919454823,711.2244750976563,81.15490341186523,746.3915893554688,0.43333333333333335,0.0009623203685930864
27,1091.4006453804348,64.98997970249341,1120.6461367399795,698.3116821289062,81.65042419433594,735.0543640136718,0.45,0.00095928853971357
28,1094.775860330333,62.984472523564875,1124.1686162533967,756.749658203125,52.66221199035645,781.3253601074218,0.4666666666666667,0.0009561446219345448
29,1069.6000857145889,61.34905342433763,1099.2521282693615,700.1280395507813,77.47529830932618,737.5744323730469,0.48333333333333334,0.0009528893909706791
30,1039.5208567743716,58.08198298578677,1068.5618511697521,672.4138854980469,71.62694702148437,708.2273559570312,0.5,0.0009495236500015041
31,1028.0953886612601,55.731906725012735,1055.9613461701767,740.1095947265625,80.44048309326172,780.329833984375,0.5,0.0009460482294732414
32,1013.6343914529551,56.497905814129375,1041.8833366062331,941.4783203125,108.08071365356446,995.5186645507813,0.5,0.0009424639868939027
33,1008.0628861137059,54.61354778123938,1035.3696554432745,630.9429382324219,56.09299774169922,658.9894409179688,0.5,0.0009387718066217117
34,1005.9677946671196,51.84407109799592,1031.8898341966712,861.7070983886719,97.29256744384766,910.353369140625,0.5,0.000934972599646904
35,1039.5927057680876,53.369355906610906,1066.277391516644,695.4692932128906,70.45086288452148,730.6947204589844,0.5,0.0009310673033669515
36,1029.9929889181385,50.98644256591797,1055.4862020741339,679.1122314453125,51.3828239440918,704.8036437988281,0.5,0.0009270568813552751
37,1024.4908832052479,51.35445304538893,1050.1681093962295,672.2807434082031,56.970280456542966,700.7658813476562,0.5,0.0009229423231234969
38,978.1644180961277,50.23203659057617,1003.2804326596467,800.6813537597657,89.72762145996094,845.5451538085938,0.5,0.0009187246438772933
39,1046.3190957774286,49.76914405822754,1071.2036597210429,673.4371276855469,80.89600067138672,713.8851379394531,0.5,0.0009144048842659075
40,1006.8514828889266,48.776450198629625,1031.2397142493207,896.2633911132813,88.99851913452149,940.7626525878907,0.5,0.0009099841101253861
41,969.7391025709069,48.03385129182235,993.7560305388077,1197.6113403320312,107.45526275634765,1251.33896484375,0.5,0.0009054634122155986
