epoch,train_bce,train_kld,train_total,val_bce,val_kld,val_total,beta
1,7777.393763950893,720.5256076199668,7786.400251116072,9146.96435546875,37.38104820251465,9147.431640625,0.0125
2,4600.006417410715,948.0831386021206,4623.708565848215,5540.48583984375,58.04335403442383,5541.93701171875,0.025
3,3377.52587890625,349.0509556361607,3390.615234375,3067.111328125,181.11841583251953,3073.9033203125,0.0375
4,2766.0526994977677,296.18773978097096,2780.862060546875,2158.22998046875,156.63600158691406,2166.061767578125,0.05
5,2362.502859933036,293.0533338274275,2380.8187081473216,1568.4630126953125,324.0621795654297,1588.7169189453125,0.0625
6,1981.7907889229912,378.4733581542969,2010.176304408482,1337.426513671875,515.3771820068359,1376.0797729492188,0.075
7,1724.6760079520088,411.33631678989957,1760.6679164341517,1258.3887939453125,494.3536376953125,1301.644775390625,0.0875
8,1489.6385846819196,358.65093994140625,1525.503662109375,1163.3895874023438,461.83653259277344,1209.5732421875,0.1
9,1520.9742082868304,352.6421901157924,1560.646449497768,1147.3467407226562,447.3032684326172,1197.6683959960938,0.1125
10,1307.7647181919642,350.3616681780134,1351.5599190848213,1128.9515380859375,455.77740478515625,1185.9237060546875,0.125
11,1430.685023716518,345.2242213657924,1478.153355189732,1212.525146484375,405.3142852783203,1268.255859375,0.1375
12,1240.3639090401787,324.2122235979353,1288.9957275390625,997.7078247070312,353.28184509277344,1050.7001037597656,0.15
13,1194.3510044642858,327.36793736049106,1247.5482875279017,1030.9651184082031,287.48057556152344,1077.6807250976562,0.1625
14,1186.4318324497767,295.47105189732144,1238.1392473493304,926.590576171875,266.7965850830078,973.2799987792969,0.175
15,1257.690708705357,292.78929356166293,1312.5887102399554,942.0825805664062,246.21346282958984,988.2476196289062,0.1875
16,1216.3894740513392,289.33318001883373,1274.256112234933,910.6041259765625,270.7509002685547,964.7543029785156,0.2
17,1201.9695957728795,267.87020438058033,1258.8920288085938,982.7915954589844,250.42019653320312,1036.0058898925781,0.2125
18,1164.4232439313616,257.1156441824777,1222.2742745535713,971.1417236328125,253.74677276611328,1028.2347717285156,0.225
19,1188.2851388113838,261.9114423479353,1250.4891183035713,856.4932861328125,219.66925048828125,908.6647338867188,0.2375
20,1274.9930245535713,233.33514840262276,1333.3268171037946,885.3803405761719,207.27686309814453,937.1995544433594,0.25
21,1130.976283482143,225.79295567103796,1190.2469308035713,858.9175109863281,199.81381225585938,911.36865234375,0.2625
22,1148.03271484375,214.39751325334822,1206.9920479910713,832.967041015625,186.40155029296875,884.2274780273438,0.275
23,978.2659127371652,186.41755894252233,1031.8609706333705,850.8241577148438,156.98076629638672,895.9561157226562,0.2875
24,1287.0584803989955,180.7832510811942,1341.293448311942,806.0712280273438,204.8486328125,867.5258178710938,0.3
25,1111.1832275390625,217.37059892926897,1179.1115199497767,769.5133056640625,205.90328979492188,833.8580932617188,0.3125
26,1148.8448835100446,219.9696044921875,1220.3350132533483,823.5264282226562,210.62535095214844,891.9796752929688,0.325
27,1169.2142682756696,224.0090048653739,1244.8172956194196,860.8313598632812,213.4445571899414,932.8689270019531,0.3375
28,1004.2523716517857,232.26463753836495,1085.5449916294642,796.398193359375,203.9698257446289,867.7876281738281,0.35
29,1152.4591761997767,220.6977059500558,1232.4620884486608,784.5814819335938,174.4977569580078,847.8369445800781,0.3625
30,1133.85205078125,193.38942173549108,1206.373081752232,791.0758056640625,155.8536376953125,849.5209045410156,0.375
31,1141.4361746651787,179.81004987444197,1211.1125749860491,811.5841979980469,138.59534454345703,865.2898864746094,0.3875
32,1081.0377633231026,156.50386265345983,1143.6393258231026,789.7735595703125,139.09195709228516,845.4103393554688,0.4
33,997.0993041992188,151.70213753836495,1059.6764439174108,721.9046020507812,117.8858413696289,770.5325012207031,0.4125
34,1157.451381138393,131.20589447021484,1213.2138846261162,693.66064453125,113.92117309570312,742.0771484375,0.425
35,1111.1683785574776,124.95665305001395,1165.8369140625,717.3188781738281,110.11173248291016,765.4927673339844,0.4375
36,1097.2462419782366,124.21292441231864,1153.1420636858259,714.3871154785156,120.99749755859375,768.8359680175781,0.45
37,1050.0450090680804,112.85539136614118,1102.2406180245537,713.9497985839844,123.88561630249023,771.2468872070312,0.4625
38,1019.652605329241,115.67972237723214,1074.6004813058037,755.4235229492188,129.0330352783203,816.7142333984375,0.475
39,886.7880336216518,123.51937757219586,947.0037318638393,686.3554077148438,114.30942153930664,742.0812683105469,0.4875
40,938.9456787109375,119.02289036342076,998.4571184430804,659.0781860351562,103.6781005859375,710.917236328125,0.5
41,1018.2287248883929,111.13722120012555,1073.7973371233259,694.3852844238281,104.65706634521484,746.7138366699219,0.5
42,948.9537004743304,100.19702802385602,999.0522112165179,675.5486450195312,107.33052062988281,729.2138977050781,0.5
43,1017.3651471819196,95.40773228236607,1065.0689958844866,664.0208129882812,106.52491760253906,717.2832641601562,0.5
44,884.9425484793527,92.95909445626395,931.4220842633929,800.3915710449219,114.92900085449219,857.8560791015625,0.5
45,1161.837602887835,97.22092764718192,1210.4480678013392,759.6581420898438,126.93091583251953,823.1235961914062,0.5
46,955.2028111049107,94.12180873325893,1002.2637329101562,717.4396362304688,126.28229141235352,780.5807800292969,0.5
47,1032.1471993582588,87.1767327444894,1075.7355433872767,891.1432495117188,130.70572662353516,956.49609375,0.5
48,1046.5049961635045,87.63368770054409,1090.3218470982142,773.1064147949219,120.48739242553711,833.3501281738281,0.5
49,974.8580147879464,89.19991302490234,1019.4579729352679,818.9993591308594,110.22866821289062,874.1137084960938,0.5
50,1077.2615792410713,89.6390849522182,1122.0811244419642,677.4281616210938,112.19891738891602,733.5276184082031,0.5
51,1084.7759660993304,92.81771414620536,1131.184814453125,690.3108215332031,100.30941772460938,740.4655151367188,0.5
52,975.9910103934152,86.98085021972656,1019.481427873884,655.9781188964844,104.99466323852539,708.4754333496094,0.5
53,973.0563877650669,88.1958487374442,1017.154314313616,859.3570556640625,98.34711074829102,908.5306396484375,0.5
54,985.683122907366,85.11528996058873,1028.2407749720983,862.93798828125,111.53225708007812,918.7041320800781,0.5
