epoch,train_bce,train_kld,train_total,val_bce,val_kld,val_total,beta
1,6934.830235072544,4296.4560533208505,7149.652762276785,1291.3412475585938,15.841267108917236,1292.1333618164062,0.05
2,981.8975655691964,32.29515566144671,985.1270839146206,712.1189270019531,27.439964294433594,714.8629150390625,0.1
3,883.5310494559152,35.81533132280622,888.9033551897321,680.2342224121094,16.33229160308838,682.6840515136719,0.15
4,777.9342215401786,11.471583093915667,780.2285417829241,633.1426391601562,7.528072118759155,634.6482238769531,0.2
5,762.9519566127232,6.579033647264753,764.5967145647321,603.6105651855469,10.520578384399414,606.24072265625,0.25
6,736.8113054547991,9.105084214891706,739.5428205217634,581.837646484375,16.99216079711914,586.935302734375,0.3
7,739.1500592912946,10.024210248674665,742.6585431780134,593.2471923828125,10.30791187286377,596.8549499511719,0.35
8,709.8259713309152,8.299881117684501,713.1459263392857,596.3551025390625,6.616315126419067,599.0016174316406,0.4
9,738.2261788504464,5.103139162063599,740.5226004464286,574.8344421386719,5.702391624450684,577.4005126953125,0.45
10,709.5724400111607,5.233918258122036,712.1894008091518,572.149169921875,7.321347236633301,575.8098449707031,0.5
11,736.6128627232143,5.980020863669259,739.901872907366,573.9937438964844,7.245782852172852,577.9789428710938,0.55
12,694.657470703125,6.348556041717529,698.4666050502232,555.6847229003906,7.704874515533447,560.3076477050781,0.6
13,716.4281093052456,5.333362306867327,719.894792829241,531.8099975585938,8.942505836486816,537.6226196289062,0.65
14,718.4927804129464,4.159709760120937,721.4045846121652,541.4925231933594,5.971746206283569,545.6727294921875,0.7
15,714.8393990652902,4.336267914090838,718.0916050502232,574.2230834960938,3.714351773262024,577.0088500976562,0.75
16,728.8122994559152,3.8185553210122243,731.8671439034598,544.0841369628906,4.7289862632751465,547.8673095703125,0.8
17,680.4880719866071,4.302035536084857,684.1448015485491,501.18927001953125,8.016159296035767,508.0030212402344,0.85
18,694.0055803571429,5.3466732161385675,698.8175920758929,504.6937561035156,7.565764427185059,511.5029602050781,0.9
19,691.1246512276786,5.28312179020473,696.1436157226562,510.5370635986328,8.029751777648926,518.1653137207031,0.95
20,677.117449079241,4.956636428833008,682.0740792410714,491.5575714111328,7.6509926319122314,499.20855712890625,1.0
21,663.7967442103794,4.989001955304827,668.7857491629464,465.72821044921875,9.43412446975708,475.16233825683594,1.0
22,660.5792846679688,6.220569951193673,666.7998570033482,441.3744201660156,10.794547080993652,452.1689758300781,1.0
23,593.0417044503348,7.1447272300720215,600.1864449637277,400.7963104248047,9.77788782119751,410.5741882324219,1.0
24,604.8463570731027,5.738820620945522,610.5851789202009,350.63035583496094,11.280436992645264,361.9107971191406,1.0
25,566.8124564034598,7.252381324768066,574.0648454938616,341.4538116455078,11.28209114074707,352.73590087890625,1.0
26,561.1145542689732,6.489954948425293,567.604509626116,316.7757263183594,10.403388977050781,327.1791229248047,1.0
27,568.5610264369419,6.196140016828265,574.7571672712054,307.60797119140625,8.102293491363525,315.71026611328125,1.0
28,525.5342407226562,6.481758049556187,532.0159999302456,355.53570556640625,10.712731838226318,366.2484436035156,1.0
29,539.9047415597098,6.494092873164585,546.3988255092075,311.05352783203125,8.258636713027954,319.3121643066406,1.0
30,537.3798566545759,7.2611516543797086,544.6410173688616,336.23175048828125,11.482150554656982,347.7138977050781,1.0
31,513.8232857840402,6.7934392520359586,520.6167253766741,343.1435241699219,10.210938453674316,353.3544616699219,1.0
32,492.414794921875,7.0667354719979425,499.4815237862723,305.6692810058594,8.31170916557312,313.9809875488281,1.0
33,484.6071123395647,6.411004202706473,491.0181143624442,292.9501495361328,10.451507568359375,303.4016571044922,1.0
34,490.17857578822543,6.540363924843924,496.7189418247768,316.76116943359375,8.027940034866333,324.7891082763672,1.0
35,464.38236345563615,7.153740065438407,471.5361022949219,296.34417724609375,8.425808668136597,304.7699737548828,1.0
36,474.81495448521207,6.691175392695835,481.50612095424106,300.99786376953125,8.221577167510986,309.2194519042969,1.0
37,436.78438459123885,5.7571788515363425,442.5415693010603,317.6913757324219,7.351717948913574,325.0430908203125,1.0
38,459.43189784458707,7.052471842084612,466.48437064034596,324.55397033691406,8.002124547958374,332.55609130859375,1.0
39,425.60216849190846,7.10905613218035,432.7112295968192,343.3880920410156,8.506243705749512,351.8943328857422,1.0
40,426.6800624302455,7.23036881855556,433.9104265485491,317.8717803955078,6.997336149215698,324.86912536621094,1.0
41,447.30784388950894,6.3179691178458075,453.6258065359933,334.9826965332031,6.6931023597717285,341.67579650878906,1.0
42,422.78743634905135,6.914189611162458,429.7016296386719,317.12709045410156,7.655562162399292,324.78265380859375,1.0
43,422.8566196986607,6.677463463374546,429.53407505580356,315.8201446533203,7.084614992141724,322.9047546386719,1.0
44,406.28079659598217,6.273502826690674,412.5542994907924,296.0316162109375,5.885136604309082,301.916748046875,1.0
45,453.5018964494978,6.493307386125837,459.99520438058033,306.314697265625,7.304552316665649,313.61924743652344,1.0
46,422.7546604701451,6.944400651114328,429.69906180245533,321.2361602783203,6.445814371109009,327.6819763183594,1.0
47,415.2166268484933,6.640742301940918,421.8573651994978,281.8173522949219,7.079797983169556,288.89715576171875,1.0
48,420.604239327567,6.653109959193638,427.2573503766741,309.2571563720703,6.859474420547485,316.11663818359375,1.0
49,414.4865461077009,7.531829629625593,422.0183759416853,316.06468200683594,6.2072577476501465,322.2719421386719,1.0
50,437.62020438058033,7.111634254455566,444.7318420410156,290.7102813720703,7.693784475326538,298.40406799316406,1.0
51,421.5833260672433,7.246673992701939,428.8299996512277,295.93597412109375,7.606409311294556,303.5423889160156,1.0
52,403.44686017717635,6.940004961831229,410.3868626185826,284.9853057861328,6.15730881690979,291.1426239013672,1.0
53,401.0033394949777,6.822003364562988,407.8253435407366,283.90374755859375,7.183140754699707,291.08689880371094,1.0
54,381.13863263811385,7.044082982199533,388.1827130998884,274.93798828125,6.557061195373535,281.49505615234375,1.0
55,402.99087960379467,6.592529364994594,409.58340890066967,273.790771484375,6.262363433837891,280.0531463623047,1.0
56,408.6875435965402,7.069167409624372,415.7567138671875,280.89080810546875,7.301292181015015,288.1921081542969,1.0
57,370.9912676130022,7.020487376621792,378.01175798688615,262.8747253417969,7.139506101608276,270.0142364501953,1.0
58,401.4846976143973,7.272579874311175,408.7572806222098,278.0155334472656,6.764662027359009,284.7801971435547,1.0
59,389.5822535923549,6.930600779397147,396.51285661969865,259.54431915283203,6.277540445327759,265.82186126708984,1.0
60,389.1556614467076,6.730391229901995,395.8860517229353,257.48265838623047,6.016834020614624,263.49949645996094,1.0
61,401.3275800432478,6.312560149601528,407.64013671875,285.72569274902344,7.418065071105957,293.1437683105469,1.0
62,379.1663818359375,6.875684465680804,386.0420706612723,255.08954620361328,6.585641622543335,261.6751937866211,1.0
63,371.54932948521207,7.282947540283203,378.832275390625,261.17633056640625,5.507279634475708,266.6836242675781,1.0
64,390.74544852120533,6.925273145948138,397.67071533203125,273.0298767089844,7.502033948898315,280.53192138671875,1.0
65,397.69822474888394,7.082386357443673,404.7806134905134,261.97509765625,6.725499629974365,268.7005920410156,1.0
66,383.20813424246654,7.162841320037842,390.3709716796875,258.66841888427734,6.57990574836731,265.24832916259766,1.0
67,373.09481375558033,7.06324223109654,380.1580548967634,261.07044219970703,6.39251971244812,267.46295166015625,1.0
68,389.4599086216518,6.6099899155753,396.0698983328683,276.64654541015625,7.490027904510498,284.1365661621094,1.0
69,384.9208461216518,7.618847778865269,392.53969029017856,249.7247314453125,6.8481221199035645,256.5728530883789,1.0
70,379.41737147739957,7.31425496510097,386.7316327776228,260.3516540527344,6.127926826477051,266.4795684814453,1.0
71,380.0789533342634,6.781747545514788,386.8606959751674,260.75569915771484,5.875686883926392,266.6313781738281,1.0
72,373.82142421177457,6.859202112470355,380.6806161063058,262.5880584716797,6.407995939254761,268.9960479736328,1.0
73,379.0355311802455,6.877316815512521,385.912850516183,255.43903350830078,7.065081596374512,262.5041046142578,1.0
74,341.7917960030692,7.315710953303745,349.10750470842635,255.36499786376953,6.856926202774048,262.22191619873047,1.0
75,382.4007088797433,6.974209989820208,389.37491716657365,254.2953109741211,6.298389673233032,260.5937042236328,1.0
76,371.5067836216518,6.76963608605521,378.2764195033482,257.1511688232422,6.7896952629089355,263.94085693359375,1.0
77,389.8422110421317,7.2727236066545755,397.1149379185268,266.2033386230469,6.871388673782349,273.07472229003906,1.0
78,377.42567661830356,7.525579520634243,384.95125470842635,266.8627014160156,7.650474548339844,274.51316833496094,1.0
79,376.20775931222096,7.52083683013916,383.7285940987723,255.1568145751953,6.910198926925659,262.06702423095703,1.0
80,367.9725559779576,7.153407096862793,375.12596348353793,258.29791259765625,6.723003625869751,265.0209197998047,1.0
81,372.53314208984375,6.619166237967355,379.15230451311385,253.0209503173828,6.394367456436157,259.41532135009766,1.0
82,411.43155343191967,6.452837535313198,417.88439505440846,260.63973236083984,6.99531102180481,267.6350402832031,1.0
83,369.4101039341518,7.014415264129639,376.4245169503348,243.46631622314453,7.252957820892334,250.71927642822266,1.0
84,398.49308122907365,7.051406792231968,405.5444859095982,265.4757995605469,6.39175820350647,271.8675537109375,1.0
85,379.1212724958147,6.880135604313442,386.0014125279018,248.48995971679688,5.953763723373413,254.4437255859375,1.0
86,397.89215087890625,8.24769857951573,406.13985334123885,259.33985900878906,7.838764905929565,267.1786346435547,1.0
87,376.8787100655692,7.534521034785679,384.41322544642856,248.6217041015625,6.765398025512695,255.3871078491211,1.0
88,369.41588919503346,6.828152111598423,376.2440403529576,243.17359161376953,5.829549789428711,249.00313568115234,1.0
89,365.99031720842635,6.738853999546596,372.7291695731027,252.52767181396484,5.60172438621521,258.12939453125,1.0
90,367.0751211983817,6.409462860652378,373.48458426339283,241.84001922607422,6.6755006313323975,248.5155258178711,1.0
91,357.0176478794643,7.268241269247873,364.285888671875,240.9120635986328,7.6289708614349365,248.5410385131836,1.0
92,364.9239589146205,7.585022858210972,372.5089808872768,246.3788299560547,6.846080780029297,253.22490692138672,1.0
93,370.4991542271205,7.111416612352643,377.6105695452009,248.99502563476562,6.182941198348999,255.17797088623047,1.0
94,368.3312552315848,7.52609784262521,375.8573521205357,244.42808532714844,8.107502937316895,252.53558349609375,1.0
95,355.5406494140625,7.555544103894915,363.09619140625,237.79930114746094,6.603149890899658,244.40245819091797,1.0
96,385.2357700892857,7.191201823098319,392.4269714355469,248.8952407836914,5.621642589569092,254.51688385009766,1.0
97,370.36856951032365,6.965617588588169,377.3341805594308,250.9718475341797,7.423017263412476,258.3948669433594,1.0
98,363.3933367047991,7.727246829441616,371.1205836704799,237.46070861816406,7.828281879425049,245.28899383544922,1.0
99,369.6491481236049,7.862264360700335,377.5114179338728,251.28021240234375,5.849714756011963,257.1299285888672,1.0
100,364.9224635532924,6.889764717647007,371.8122297014509,246.76573944091797,5.566533803939819,252.33226776123047,1.0
101,363.13094220842635,6.718882969447544,369.8498229980469,242.86136627197266,6.779425621032715,249.64080047607422,1.0
102,384.65114048549106,7.447027615138462,392.0981706891741,257.3700714111328,7.538199186325073,264.9082794189453,1.0
103,366.2418518066406,7.721345084054129,373.96319580078125,240.3878173828125,6.882196426391602,247.27001953125,1.0
104,371.477791922433,7.002438681466239,378.480233328683,248.93331146240234,5.795710325241089,254.7290267944336,1.0
105,369.9373779296875,6.8036796024867465,376.7410627092634,252.05175018310547,6.629779577255249,258.68152618408203,1.0
