epoch,train_bce,train_kld,train_total,val_bce,val_kld,val_total,beta,lr
1,12702.74951171875,484.23315358906984,12722.118896484375,11448.0751953125,0.03771195560693741,11448.0771484375,0.04,0.001
2,10568.624267578125,14.82030963897705,10569.809814453125,10867.48046875,0.5139774680137634,10867.521484375,0.08,0.0009998914383200486
3,9505.80859375,30.83164882659912,9509.508544921875,10125.587890625,1.8053077459335327,10125.8046875,0.12,0.000999565800898935
4,8730.090576171875,40.6592378616333,8736.595947265625,9301.9912109375,4.141685485839844,9302.654296875,0.16,0.0009990232305719946
5,8163.488037109375,41.87522506713867,8171.8631591796875,8507.6982421875,7.746944427490234,8509.248046875,0.2,0.0009982639653285047
6,7643.7978515625,35.7480993270874,7652.3773193359375,7770.87109375,10.625495910644531,7773.42138671875,0.24,0.0009972883382072953
7,7200.457763671875,25.704594612121582,7207.6551513671875,7116.88525390625,10.293760299682617,7119.767578125,0.28,0.0009960967771506667
8,6808.5421142578125,15.469162225723267,6813.4921875,6577.20556640625,7.510961055755615,6579.60888671875,0.32,0.0009946898048166792
9,6420.56787109375,8.509188413619995,6423.631103515625,6131.67626953125,5.511020660400391,6133.66015625,0.36,0.0009930680383499
10,6047.953857421875,5.786540269851685,6050.2685546875,5711.14990234375,5.356099605560303,5713.29248046875,0.4,0.000991232189110701
11,5661.150634765625,5.1239447593688965,5663.405029296875,5330.92529296875,5.234884738922119,5333.228515625,0.44,0.0009891830623632338
12,5284.1602783203125,4.774649143218994,5286.4521484375,4929.4384765625,5.332608222961426,4931.998046875,0.48,0.0009869215569222143
13,4977.168701171875,4.7063374519348145,4979.6160888671875,4537.57177734375,5.609596252441406,4540.48876953125,0.52,0.0009844486647586723
14,4626.905517578125,4.725621819496155,4629.5517578125,4242.5634765625,5.374929904937744,4245.5732421875,0.56,0.0009817654705648407
15,4315.23388671875,4.642929553985596,4318.01953125,3950.099853515625,5.210459232330322,3953.22607421875,0.6,0.000978873151278373
16,4101.6751708984375,4.660765647888184,4104.658142089844,3613.838623046875,5.592143535614014,3617.41748046875,0.64,0.0009757729755661009
17,3895.5419311523438,5.023796081542969,3898.9580688476562,3331.676513671875,5.8154754638671875,3335.631103515625,0.68,0.000972466303267553
18,3685.10302734375,5.014467239379883,3688.71337890625,3129.385498046875,5.544874668121338,3133.3779296875,0.72,0.0009689545847984861
19,3415.7072143554688,4.793360948562622,3419.3501586914062,2803.710205078125,6.300719738006592,2808.498779296875,0.76,0.0009652393605146842
20,3260.01123046875,5.4923213720321655,3264.4050903320312,2695.314697265625,5.574138641357422,2699.77392578125,0.8,0.0009613222600363075
21,3060.1092529296875,5.4608845710754395,3064.6964111328125,2410.7578125,6.889009952545166,2416.544677734375,0.84,0.0009572050015330872
22,3014.3577270507812,5.586775064468384,3019.2741088867188,2328.31201171875,6.229059219360352,2333.793701171875,0.88,0.0009528893909706794
23,2801.7307739257812,4.075033664703369,2805.4797973632812,2299.036376953125,5.009719371795654,2303.645263671875,0.92,0.000948377321318509
24,2640.6404418945312,4.390623211860657,2644.8554077148438,2107.924560546875,5.845266819000244,2113.5361328125,0.96,0.0009436707717194509
25,2582.6400146484375,4.9880242347717285,2587.6280517578125,1855.11083984375,7.526595592498779,1862.637451171875,1.0,0.000938771806621712
26,2500.2508544921875,5.179263234138489,2505.4301147460938,1854.1591796875,5.388902187347412,1859.548095703125,1.0,0.0009336825748732967
27,2413.4692993164062,4.234330654144287,2417.7036743164062,1668.0611572265625,7.545144557952881,1675.6063232421875,1.0,0.0009284053087794503
